Måned,Operatørregularitet
09/14,98.5
08/14,97.6
07/14,97.9
06/14,98.6
05/14,98.3
04/14,98.4
03/14,99.1
02/14,98.7
01/14,98.5
12/13,98.1
11/13,98.3
10/13,98.4
09/13,97.0
08/13,97.4
07/13,95.4
06/13,97.8
05/13,98.0
04/13,99.1
03/13,98.8
02/13,98.9
01/13,98.5
12/12,97.5
11/12,97.7
10/12,98.2
09/12,98.7
08/12,98.6
07/12,98.8
06/12,98.3
05/12,97.3
04/12,98.8
03/12,98.9
02/12,98.4
01/12,98.7
12/11,97.8
11/11,98.6
10/11,98.8
09/11,98.9
08/11,98.8
07/11,98.9
06/11,98.6
05/11,99.0
04/11,99.1
03/11,98.9
02/11,98.5
01/11,98.2
12/10,97.9
11/10,98.2
10/10,99.0
09/10,98.6
08/10,98.2
07/10,97.0
06/10,97.3
05/10,98.1
04/10,98.5
03/10,97.5
02/10,97.1
01/10,96.9
