Date,S,RV,KF,CD,DR,SF,DKP,DF,FK,KD,V,VS,FP,EL,LA,Other,Turnout
12/04/1973,25.6,11.2,9.2,7.8,2.9,6.0,3.6,-,-,4.0,12.3,1.5,15.9,-,-,0.0,88.7
01/09/1975,29.9,7.1,5.5,2.2,1.8,5.0,4.2,-,-,5.3,23.3,2.1,13.6,-,-,0.0,88.2
02/15/1977,37.0,3.6,8.5,6.4,3.3,3.9,3.7,-,-,3.4,12.0,2.7,14.6,-,-,0.9,88.7
10/23/1979,38.3,5.4,12.5,3.2,2.6,5.9,1.9,-,-,2.6,12.5,3.7,11.0,-,-,0.4,85.6
12/08/1981,32.9,5.1,14.5,8.3,1.4,11.3,1.1,-,-,2.3,11.3,2.7,8.9,-,-,0.2,83.2
01/10/1984,31.6,5.5,23.4,4.6,1.5,11.5,0.7,-,-,2.7,12.1,2.7,3.6,-,-,0.1,88.4
09/08/1987,29.3,6.2,20.8,4.8,0.5,14.6,0.9,-,2.2,2.4,10.5,1.4,4.8,-,-,1.7,86.7
05/10/1988,29.8,5.6,19.3,4.7,-,13.0,0.8,-,1.9,2.0,11.8,0.6,9.0,-,-,1.5,85.7
12/12/1990,37.4,3.5,16.0,5.1,0.5,8.3,-,-,1.8,2.3,15.8,-,6.4,1.7,-,0.9,82.8
09/21/1994,34.6,4.6,15.0,2.8,-,7.3,-,-,-,1.9,23.3,-,6.4,3.1,-,1.0,84.3
03/11/1998,35.9,3.9,8.9,4.3,-,7.6,-,7.4,-,2.5,24.0,-,2.4,2.7,-,0.4,86.0
11/20/2001,29.1,5.2,9.1,1.8,-,6.4,-,12.0,-,2.3,31.2,-,0.6,2.4,-,0.0,87.1
02/08/2005,25.8,9.2,10.3,1.0,-,6.0,-,13.3,-,1.7,29.0,-,-,3.4,-,0.4,84.5
11/13/2007,25.5,5.1,10.4,-,-,13.0,-,13.9,-,0.9,26.2,-,-,2.2,2.8,0.0,86.6
09/15/2011,24.8,9.5,4.9,-,-,9.2,-,12.3,-,0.8,26.7,-,-,6.7,5.0,0.1,87.7
